rank,rikishi,heya,w,l
Y1e,Harumafuji,Isegahama,12,3
Y1w,Hakuho,Miyagino,12,3
Y2e,Kakuryu,Izutsu,10,5
O1e,Kisenosato,Tagonoura,9,6
O1w,Terunofuji,Isegahama,3,3
O2e,Kotoshogiku,Sadogatake,14,1
O2w,Goeido,Sakaigawa,4,11
S1e,Tochiozan,Kasugano,7,8
S1w,Yoshikaze,Oguruma,8,7
K1e,Ikioi,Isenoumi,5,10
K1w,Tochinoshin,Kasugano,6,9
M1e,Aminishiki,Isegahama,6,8
M1w,Shohozan,Nishonoseki,5,10
M2e,Takarafuji,Isegahama,8,7
M2w,Aoiyama,Kasugano,7,8
M3e,Ichinojo,Minato,2,13
M3w,Kaisei,Tomozuna,5,10
M4e,Kyokushuho,Tomozuna,7,8
M4w,Kotoyuki,Sadogatake,9,6
M5e,Osunaarashi,Otake,0,0
M5w,Sokokurai,Arashio,8,7
M6e,Tokushoryu,Kise,4,11
M6w,Okinoumi,Hakkaku,10,5
M7e,Toyonoshima,Tokitsukaze,12,3
M7w,Tamawashi,Kataonami,5,10
M8e,Myogiryu,Sakaigawa,8,7
M8w,Takayasu,Tagonoura,11,4
M9e,Sadanoumi,Sakaigawa,7,8
M9w,Gagamaru,Kise,7,8
M10e,Chiyootori,Kokonoe,5,7
M10w,Mitakeumi,Dewanoumi,5,8
M11e,Endo,Oitekaze,1,6
M11w,Amuru,Onomatsu,7,8
M12e,Chiyotairyu,Kokonoe,8,7
M12w,Shodai,Tokitsukaze,10,5
M13e,Takekaze,Oguruma,10,5
M13w,Takanoiwa,Takanohana,9,6
M14e,Jokoryu,Kise,2,4
M14w,Toyohibiki,Sakaigawa,8,7
M15e,Homarefuji,Isegahama,4,11
M15w,Kitataiki,Yamahibiki,7,8
M16e,Kagayaki,Takadagawa,4,11
J1e,Seiro,Shikoroyama,7,8
J1w,Fujiazuma,Tamanoi,6,9
J2e,Sadanofuji,Sakaigawa,6,9
J2w,Hidenoumi,Kise,11,4
J3e,Daieisho,Oitekaze,8,7
J3w,Kitaharima,Yamahibiki,5,10
J4e,Arawashi,Minezaki,7,8
J4w,Kagamio,Kagamiyama,7,7
J5e,Daishomaru,Oitekaze,10,5
J5w,Akiseyama,Kise,8,7
J6e,Nishikigi,Isenoumi,8,7
J6w,Satoyama,Onoe,9,6
J7e,Tenkaiho,Onoe,5,10
J7w,Chiyomaru,Kokonoe,5,6
J8e,Asasekiryu,Takasago,9,6
J8w,Chiyoo,Kokonoe,6,9
J9e,Tokitenku,Tokitsukaze,0,0
J9w,Kyokutaisei,Tomozuna,5,10
J10e,Ishiura,Miyagino,8,7
J10w,Asahisho,Tomozuna,8,7
J11e,Asabenkei,Takasago,7,8
J11w,Azumaryu,Tamanoi,9,6
J12e,Tsurugisho,Oitekaze,8,7
J12w,Chiyoshoma,Kokonoe,8,7
J13e,Amakaze,Oguruma,7,8
J13w,Chiyonokuni,Kokonoe,10,5
J14e,Onosho,Onomatsu,8,7
J14w,Dewahayate,Dewanoumi,8,7
Ms1e,Shotenro,Fujishima,4,3
Ms1w,Wakanoshima,Shibatayama,3,4
Ms2e,Kairyu,Dewanoumi,1,6
Ms2w,Daido,Onomatsu,1,4
Ms3e,Shiba,Kise,3,4
Ms3w,Tokushinho,Kise,2,5
Ms4e,Tamaasuka,Kataonami,4,3
Ms4w,Abi,Shikoroyama,4,3
Ms5e,Kizenryu,Kise,3,4
Ms5w,Daishoho,Oitekaze,4,3
Ms6e,Shosei,Sakaigawa,3,4
Ms6w,Tochihiryu,Kasugano,6,1
Ms7e,Akua,Tatsunami,4,3
Ms7w,Hakuyozan,Takadagawa,5,2
Ms8e,Aokishin,Kasugano,2,5
Ms8w,Ura,Kise,6,1
Ms9e,Ryuden,Takadagawa,3,4
